,color,director_name,duration,gross,genres,movie_title,title_year,language,country,budget,imdb_score,actors,movie_facebook_likes
0,color,martin scorsese,240,116866727.0,biography|comedy|crime|drama,the wolf of wall street,2013,english,usa,100000000,8.2,"leonardo dicaprio,matthew mcconaughey,jon favreau",138000
1,color,shane black,195,408992272.0,action|adventure|sci-fi,iron man 3,2013,english,usa,200000000,7.2,"robert downey jr.,jon favreau,don cheadle",95000
2,color,quentin tarantino,187,54116191.0,crime|drama|mystery|thriller|western,the hateful eight,2015,english,usa,44000000,7.9,"craig stark,jennifer jason leigh,zoë bell",114000
3,color,kenneth lonergan,186,46495.0,drama,margaret,2011,english,usa,14000000,6.5,"matt damon,kieran culkin,john gallagher jr.",0
4,color,peter jackson,186,258355354.0,adventure|fantasy,the hobbit: the desolation of smaug,2013,english,usa,225000000,7.9,"aidan turner,adam brown,james nesbitt",83000
5,,,183,330249062.0,action|adventure|sci-fi,batman v superman: dawn of justice,202,english,usa,250000000,6.9,"henry cavill,lauren cohan,alan d. purwin",197000
6,color,peter jackson,0,303001229.0,adventure|fantasy,the hobbit: an unexpected journey,2012,english,usa,180000000,7.9,"aidan turner,adam brown,james nesbitt",166000
7,color,edward hall,180,,drama|romance,restless,2012,english,uk,,7.2,"rufus sewell,hayley atwell,charlotte rampling",434
8,color,joss whedon,173,623279547.0,action|adventure|sci-fi,the avengers,2012,english,usa,220000000,8.1,"chris hemsworth,robert downey jr.,scarlett johansson",123000
9,color,joss whedon,173,623279547.0,action|adventure|sci-fi,the avengers,2012,english,usa,220000000,8.1,"chris hemsworth,robert downey jr.,scarlett johansson",123000
10,,tom tykwer,172,27098580.0,drama|sci-fi,cloud atlas,2012,english,germany,102000000,0.0,"tom hanks,jim sturgess,jim broadbent",124000
11,color,null,158,102515793.0,crime|drama|mystery|thriller,the girl with the dragon tattoo,2011,english,usa,90000000,7.8,"robin wright,goran visnjic,joely richardson",54000
12,color,christopher spencer,170,59696176.0,,son of god,2014,english,usa,22000000,5.6,"roma downey,amber rose revah,darwin shaw",15000
13,color,christopher nolan,169,187991439.0,adventure|drama|sci-fi,interstellar,2014,english,usa,165000000,8.6,"matthew mcconaughey,anne hathaway,mackenzie foy",349000
14,color,f. gary gray,167,161029270.0,biography|crime|drama|history|music,straight outta compton,2015,english,usa,28000000,7.9,"aldis hodge,neil brown jr.,r. marcos taylor",76000
15,,richard linklater,165,25359200.0,drama,boyhood,2014,english,usa,4000000,8.0,"ellar coltrane,lorelei linklater,libby villari",92000
16,color,quentin tarantino,580,162804648.0,drama|western,django unchained,2012,english,usa,100000000,8.5,"leonardo dicaprio,christoph waltz,ato essandoh",199000
17,color,michael bay,165,245428137.0,action|adventure|sci-fi,transformers: age of extinction,2014,english,usa,210000000,5.7,"bingbing li,sophia myles,kelsey grammer",56000
18,,christopher nolan,164,448130642.0,action|thriller,the dark knight rises,2012,english,usa,250000000,8.5,"tom hardy,christian bale,joseph gordon-levitt",164000
19,color,peter jackson,164,255108370.0,adventure|fantasy,the hobbit: the battle of the five armies,2014,english,new zealand,250000000,7.5,"aidan turner,adam brown,james nesbitt",65000
20,color,tom hooper,158,148775460.0,drama|musical|romance,les misérables,2012,english,usa,61000000,7.6,"hugh jackman,eddie redmayne,anne hathaway",144000
21,color,tom hooper,158,148775460.0,drama|musical|romance,les misérables,2012,english,usa,61000000,7.6,"hugh jackman,eddie redmayne,anne hathaway",144000
22,color,kathryn bigelow,157,95720716.0,drama|history|thriller,zero dark thirty,2012,english,usa,40000000,7.4,"jennifer ehle,harold perrineau,parker sawyers",39000
23,color,ridley scott,156,105219735.0,action|adventure|drama|history,robin hood,2010,english,usa,200000000,6.7,"mark addy,william hurt,scott grimes",17000
24,color,,156,183635922.0,adventure|drama|thriller|western,the revenant,2015,english,usa,135000000,8.1,"leonardo dicaprio,tom hardy,lukas haas",190000
25,color,michael bay,154,352358779.0,action|adventure|sci-fi,transformers: dark of the moon,2011,english,usa,195000000,6.3,"glenn morshower,lester speight,kevin dunn",46000
26,color,denis villeneuve,153,60962878.0,crime|drama|mystery|thriller,prisoners,2013,english,usa,46000000,8.1,"hugh jackman,jake gyllenhaal,dylan minnette",86000
27,color,gnana rajasekaran,153,,biography|drama|history,ramanujan,2014,english,india,,7.0,"mani bharathi,michael lieber,kevin mcgowan",58
28,color,marc webb,153,262030663.0,action|adventure|fantasy,the amazing spider-man,2012,english,usa,230000000,7.0,"emma stone,andrew garfield,chris zylka",56000
29,color,nan,151,228430993.0,adventure|drama|sci-fi,the martian,2015,english,usa,108000000,8.1,"matt damon,donald glover,benedict wong",153000
30,color,ridley scott,150,65007045.0,action|adventure|drama,exodus: gods and kings,2014,english,uk,140000000,6.1,"christian bale,maría valverde,ben mendelsohn",51000
31,color,ridley scott,150,65007045.0,action|adventure|drama,exodus: gods and kings,2014,english,uk,140000000,6.1,"christian bale,maría valverde,ben mendelsohn",51000
32,color,,150,182204440.0,biography|drama|history|war,lincoln,2012,english,usa,65000000,7.4,"joseph gordon-levitt,hal holbrook,bruce mcgill",71000
33,color,mike leigh,150,3958500.0,biography|drama|history,mr. turner,2014,english,uk,,6.8,"lesley manville,ruth sheen,karl johnson",0
34,color,gore verbinski,650,89289910.0,action|adventure|western,the lone ranger,2013,english,usa,215000000,6.5,"johnny depp,ruth wilson,tom wilkinson",48000
35,color,david fincher,149,167735396.0,crime|drama|mystery|thriller,gone girl,2014,english,usa,61000000,8.1,"patrick fugit,sela ward,emily ratajkowski",146000
36,color,bryan singer,149,233914986.0,action|adventure|fantasy|sci-fi|thriller,x-men: days of future past,2014,english,united states,200000000,8.0,"jennifer lawrence,peter dinklage,hugh jackman",82000
37,color,jay oliva,148,,action|animation|crime|sci-fi|thriller,"batman: the dark knight returns, part 2",2013,english,usa,3500000,8.4,"michael emerson,mark valley,grey griffin",5000
38,color,christopher nolan,148,292568851.0,action|adventure|sci-fi|thriller,inception,2010,english,usa,160000000,8.8,"leonardo dicaprio,tom hardy,joseph gordon-levitt",175000
39,color,paul thomas anderson,148,8093318.0,comedy|crime|drama|mystery|romance,inherent vice,2014,english,usa,20000000,6.7,"martin dew,katherine waterston,serena scott thomas",18000
40,color,sam mendes,148,200074175.0,action|adventure|thriller,spectre,2015,english,uk,245000000,6.8,"christoph waltz,rory kinnear,stephanie sigman",85000
41,color,,147,407197282.0,action|adventure|sci-fi,captain america: civil war,2016,english,usa,250000000,8.2,"robert downey jr.,scarlett johansson,chris evans",72000
